קטגוריה,פריט,סטטוס,הערות
Error Handling & Logging,לוג העלאות קבצים,,
Error Handling & Logging,לוג שינויים בנתונים קריטיים,,
Error Handling & Logging,לוג ניסיונות גישה לא מורשים,,
Database Security,משתמש DB עם הרשאות מינימליות,,
Database Security,סיסמה חזקה ל-DB,,
Database Security,חיבור מ-localhost בלבד,,
Database Security,SSL/TLS לחיבורי DB,,
Database Security,גיבויים אוטומטיים מוצפנים,,
Database Security,PDO::ATTR_EMULATE_PREPARES = false,,
Rate Limiting,Rate limiting על דף לוגין,,
Rate Limiting,Rate limiting על API endpoints,,
Rate Limiting,Rate limiting על חיפושים,,
Rate Limiting,Rate limiting על העלאות קבצים,,
Rate Limiting,Rate limiting על שליחת מיילים,,
Sensitive Data Protection,.env file מחוץ ל-web root,,
Sensitive Data Protection,".htaccess חוסם config, vendor",,
Sensitive Data Protection,קבצי הגדרות לא נגישים,,
Sensitive Data Protection,.git folder חסום,,
Sensitive Data Protection,מפתחות API מוצפנים,,
Sensitive Data Protection,נתונים רגישים מוצפנים,,
HTTPS & SSL,תעודת SSL תקפה,,
HTTPS & SSL,Force HTTPS redirect,,
HTTPS & SSL,HSTS header,,
HTTPS & SSL,SSL Labs A+ rating,,
Dependency Management,composer audit תקופתי,,
Dependency Management,composer update תקופתי,,
Dependency Management,vendor/ מוגן,,
Dependency Management,אין ספריות ישנות,,
Backup & Recovery,גיבוי DB יומי אוטומטי,,
Backup & Recovery,גיבוי קבצים שבועי,,
Backup & Recovery,שמירה במיקום חיצוני,,
Backup & Recovery,הצפנת גיבויים,,
Backup & Recovery,בדיקת שחזור תקופתית,,
Code Review,אין סיסמאות/מפתחות בקוד,,
Code Review,כל SQL queries עם prepared statements,,
Code Review,כל פלט עם htmlspecialchars,,
Code Review,CSRF validation על POST,,
Code Review,אימות והרשאות בתחילת קובץ,,
Code Review,"אין eval, exec, system",,
Code Review,אין extract על נתוני משתמש,,
Testing,Penetration testing כל 6 חודשים,,
Testing,Vulnerability scanning,,
Testing,בדיקות SQL Injection,,
Testing,בדיקות XSS,,
Testing,בדיקות CSRF,,
Testing,Brute force testing,,
Production Settings,display_errors = Off,,
Production Settings,log_errors = On,,
Production Settings,סביבות נפרדות,,
Production Settings,נתונים סינטטיים ב-dev,,
Production Settings,Debug mode רק ב-dev,,
Security Monitoring,התראות על כניסות כושלות,,
Security Monitoring,התראות על העלאות חשודות,,
Security Monitoring,מעקב IP-ים חשודים,,
Security Monitoring,ניטור CPU/memory,,
Security Monitoring,דוח שבועי אירועי אבטחה,,
Security Monitoring,דוח חודשי גישות לנתונים,,
